Proveedor,Precio Promedio ($/u),Tiempo de Entrega (dias),Nivel de Calidad (%),Volumen de Compra Anual ($),Distancia al CD (km),Riesgo Financiero (1-10)
Proveedor 0495,32.05,7,93.2,246269,518,4.9
Proveedor 0496,35.67,8,87.7,224181,589,3.1
Proveedor 0497,54.26,5,97.6,650636,213,1.9
Proveedor 0498,54.90,6,96.3,604513,155,1.2
Proveedor 0499,28.23,10,86.0,135908,571,4.3
Proveedor 0500,54.00,22,64.2,68034,306,8.4
Proveedor 0501,17.51,10,84.5,194703,590,4.9
Proveedor 0502,32.37,10,79.4,166209,453,4.6
Proveedor 0503,36.33,22,61.6,62328,368,7.4
Proveedor 0504,60.06,5,97.7,714854,181,1.0
Proveedor 0505,60.10,5,95.9,641717,224,1.7
Proveedor 0506,50.37,21,67.3,91227,345,9.1
Proveedor 0507,54.49,6,95.7,561738,215,2.3
Proveedor 0508,56.49,23,63.6,68826,308,7.9
Proveedor 0509,45.11,21,63.7,63337,268,7.4
Proveedor 0510,27.19,11,76.4,217180,412,2.8
Proveedor 0511,30.66,7,82.0,224952,553,3.8
Proveedor 0512,26.90,9,79.8,172797,581,5.3
Proveedor 0513,25.37,10,85.9,204625,669,4.8
Proveedor 0514,25.83,11,86.3,236971,647,5.4
Proveedor 0515,24.32,10,84.1,200663,769,2.8
Proveedor 0516,44.53,24,74.4,71370,379,9.3
Proveedor 0517,38.84,18,60.2,76855,370,8.1
Proveedor 0518,49.16,22,60.9,69041,360,8.2
Proveedor 0519,52.43,5,97.5,427723,156,1.9
Proveedor 0520,47.61,16,73.5,43983,366,8.6
Proveedor 0521,38.70,9,81.6,190264,597,5.1
Proveedor 0522,56.74,6,97.5,637183,206,1.7
Proveedor 0523,57.05,5,94.7,735610,187,1.2
Proveedor 0524,62.19,5,96.7,536881,213,1.7
Proveedor 0525,58.58,4,98.3,620329,144,1.7
Proveedor 0526,25.69,10,85.8,234127,562,3.8
Proveedor 0527,27.96,10,82.0,221975,555,4.9
Proveedor 0528,40.95,20,67.5,78282,249,7.0
Proveedor 0529,48.26,19,68.0,52283,271,7.4
Proveedor 0530,62.44,5,97.5,642928,202,2.7
Proveedor 0531,50.97,16,63.2,37859,318,8.9
Proveedor 0532,52.41,5,96.5,505597,186,1.5
Proveedor 0533,61.07,6,96.5,643150,218,1.8
Proveedor 0534,36.13,18,71.2,38020,410,8.5
Proveedor 0535,29.78,9,81.9,270162,387,3.7
Proveedor 0536,61.93,3,98.1,581030,217,2.0
Proveedor 0537,62.77,5,98.5,552056,166,1.6
Proveedor 0538,59.92,4,93.8,428296,186,2.5
Proveedor 0539,35.35,20,65.4,47250,311,7.8
Proveedor 0540,27.59,12,84.6,185538,677,5.0
Proveedor 0541,30.75,8,84.2,272175,486,3.4
Proveedor 0542,45.67,22,71.5,79256,391,8.8
Proveedor 0543,55.02,21,75.4,55548,324,8.0
Proveedor 0544,40.62,20,66.4,60834,347,8.1
Proveedor 0545,73.11,6,95.7,377746,239,2.0
Proveedor 0546,60.78,8,94.7,598252,153,1.0
Proveedor 0547,56.94,6,95.7,582890,265,2.2
Proveedor 0548,59.17,5,97.1,540341,178,2.2
Proveedor 0549,63.77,5,98.4,610671,198,1.3
Proveedor 0550,59.56,6,97.6,557881,175,2.0
Proveedor 0551,26.03,10,83.5,175550,575,4.3
Proveedor 0552,31.22,11,84.3,243832,661,5.1
Proveedor 0553,41.21,18,58.9,78252,349,8.8
Proveedor 0554,51.49,20,67.7,43514,428,8.2
Proveedor 0555,43.19,18,66.3,73934,433,6.7
Proveedor 0556,29.83,12,82.5,254963,579,4.6
Proveedor 0557,23.49,9,82.1,148497,498,4.2
Proveedor 0558,54.67,24,65.2,60465,340,8.1
Proveedor 0559,30.59,13,82.4,195829,552,3.6
Proveedor 0560,30.53,11,85.4,182708,587,6.2
Proveedor 0561,57.89,6,95.8,651172,256,1.0
Proveedor 0562,24.92,9,87.4,164311,617,4.2
Proveedor 0563,59.64,2,97.7,377340,202,2.1
Proveedor 0564,62.10,5,96.5,507406,172,1.3
Proveedor 0565,20.15,11,80.9,270040,603,4.2
Proveedor 0566,24.98,10,84.8,182574,457,3.2
Proveedor 0567,35.38,10,84.6,100190,548,4.5
Proveedor 0568,30.16,9,83.2,252676,573,4.5
Proveedor 0569,25.69,12,84.5,215730,569,5.8
Proveedor 0570,28.31,8,85.0,223586,530,6.2
Proveedor 0571,54.67,5,95.6,619829,218,1.0
Proveedor 0572,49.22,19,66.7,59380,316,9.4
Proveedor 0573,55.34,23,76.0,46828,374,7.3
Proveedor 0574,32.08,12,84.5,170689,586,4.7
Proveedor 0575,55.51,5,96.5,493273,161,2.3
Proveedor 0576,46.82,22,66.2,78155,431,9.6
Proveedor 0577,25.84,11,88.5,143005,665,3.9
Proveedor 0578,30.73,12,84.7,238912,509,1.7
Proveedor 0579,30.00,10,88.2,204432,607,4.3
Proveedor 0580,54.63,18,77.6,64080,347,6.9
Proveedor 0581,22.76,9,86.1,203943,588,6.2
Proveedor 0582,27.08,10,83.7,232547,588,4.4
Proveedor 0583,51.00,21,66.6,72998,334,7.8
Proveedor 0584,33.89,21,55.4,55856,316,6.6
Proveedor 0585,49.65,17,71.0,47285,362,7.9
Proveedor 0586,58.25,7,96.4,620303,200,1.4
Proveedor 0587,31.46,11,76.9,235373,612,4.5
Proveedor 0588,61.05,5,98.1,439287,265,2.8
Proveedor 0589,47.89,18,60.5,49644,488,9.1
Proveedor 0590,55.94,7,98.2,419475,139,1.4
Proveedor 0591,51.23,18,56.7,70472,372,8.9
Proveedor 0592,27.77,9,81.1,206422,485,3.7
Proveedor 0593,58.42,6,96.4,531989,201,1.7
Proveedor 0594,47.04,16,69.4,39412,282,8.6
Proveedor 0595,43.98,16,73.6,43052,361,8.6
Proveedor 0596,25.39,10,87.7,219343,633,3.3
Proveedor 0597,42.77,18,67.6,50408,463,7.2
Proveedor 0598,63.32,5,94.6,574874,271,2.4
Proveedor 0599,29.68,8,85.2,185361,741,5.2
Proveedor 0600,62.99,5,98.7,608267,163,1.6
